id;email;description;companyId
1;anna.smith45@hotmail.com;;58
2;dmitry.becker23@yahoo.com;;109
3;john.smith21@hotmail.com;;60
4;hans.meyer13@hotmail.com;;140
5;igor.ivanov67@icloud.com;;2
6;elena.becker64@example.com;;72
7;dmitry.ivanov53@yahoo.com;;24
8;artem.jones55@example.com;;68
9;john.becker68@yahoo.com;;97
10;maria.weber47@example.com;;148
11;sergey.becker18@gmail.com;;59
12;natalia.jones39@yahoo.com;;98
13;vlad.fischer91@example.com;;42
14;julia.schmidt36@icloud.com;;19
15;elena.weber41@outlook.com;;119
16;artem.petrov91@hotmail.com;;84
17;john.ivanov14@example.com;;103
18;vlad.jones37@example.com;;55
19;clara.mueller92@webmail.net;;37
20;vlad.miller41@icloud.com;;150
21;igor.meyer61@example.com;;57
22;dmitry.weber73@yahoo.com;;13
23;anna.miller90@outlook.com;;109
24;maria.mueller58@webmail.net;;136
25;vlad.weber11@yahoo.com;;138
26;vlad.schulz92@example.com;;29
27;natalia.mueller30@webmail.net;;1
28;vlad.weber32@yahoo.com;;77
29;hans.meyer35@outlook.com;;96
30;elena.weber77@gmail.com;;83
31;clara.smith24@example.com;;79
32;olga.smith40@yahoo.com;;22
33;clara.jones78@outlook.com;;33
34;clara.weber31@icloud.com;;136
35;igor.ivanov79@hotmail.com;;80
36;artem.wagner93@example.com;;113
37;hans.fischer25@hotmail.com;;58
38;maria.schmidt12@hotmail.com;;57
39;alex.jones90@gmail.com;;59
40;maria.smith52@yahoo.com;;132
41;olga.petrov95@webmail.net;;55
42;michael.miller83@webmail.net;;63
43;clara.schulz62@hotmail.com;;25
44;anna.wagner65@example.com;;109
45;igor.fischer16@yahoo.com;;16
46;artem.becker53@yahoo.com;;64
47;sergey.ivanov78@webmail.net;;36
48;igor.miller45@webmail.net;;64
49;maria.fischer80@yahoo.com;;13
50;michael.smith21@hotmail.com;;43
51;igor.fischer71@hotmail.com;;103
52;john.miller58@gmail.com;;100
53;vlad.schulz68@icloud.com;;109
54;michael.wagner72@outlook.com;;49
55;natalia.ivanov17@gmail.com;;81
56;john.smith84@webmail.net;;129
57;hans.miller17@yahoo.com;;48
58;maria.meyer18@hotmail.com;;104
59;anna.meyer41@gmail.com;;21
60;igor.wagner84@example.com;;67
61;sergey.wagner50@hotmail.com;;68
62;artem.miller95@icloud.com;;118
63;maxim.schulz19@gmail.com;;118
64;anna.jones78@hotmail.com;;130
65;vlad.miller54@yahoo.com;;63
66;julia.petrov30@webmail.net;;140
67;natalia.meyer93@gmail.com;;142
68;natalia.wagner23@outlook.com;;68
69;anna.jones80@outlook.com;;70
70;natalia.meyer36@example.com;;53
71;vlad.weber72@icloud.com;;14
72;maria.wagner64@icloud.com;;12
73;alex.schmidt26@icloud.com;;42
74;swen.weber64@gmail.com;;29
75;maria.becker29@gmail.com;;95
76;michael.miller65@outlook.com;;11
77;natalia.schmidt15@example.com;;54
78;olga.wagner23@example.com;;144
79;igor.meyer29@hotmail.com;;42
80;elena.mueller13@outlook.com;;86
81;igor.schulz95@hotmail.com;;69
82;elena.schulz99@yahoo.com;;98
83;john.fischer38@hotmail.com;;118
84;julia.petrov39@hotmail.com;;7
85;sergey.mueller52@icloud.com;;18
86;vlad.schmidt92@techcorp.com;;138
87;maxim.smith24@icloud.com;;46
88;vlad.smith23@techcorp.com;;89
89;maxim.mueller87@yahoo.com;;99
90;sergey.petrov15@techcorp.com;;1
91;hans.schulz78@hotmail.com;;94
92;igor.jones95@example.com;;81
93;anna.becker48@icloud.com;;105
94;maxim.mueller99@icloud.com;;142
95;dmitry.ivanov63@techcorp.com;;45
96;natalia.mueller80@gmail.com;;78
97;natalia.ivanov65@example.com;;120
98;swen.fischer96@hotmail.com;;131
99;clara.schulz31@yahoo.com;;73
100;hans.wagner91@example.com;;24
